datetime,1,3,5,7,9
1984-03-12 23:00:00,2.9690883777759694e-08,3.438940754643193e-08,2.5818132691913182e-08,6.6594989211471e-08,7.107024943387067e-08
1984-03-13 23:00:00,2.6343449398323343e-07,2.6375549810904046e-07,2.063478805400707e-07,2.088017154622961e-07,3.021062965746279e-07
1984-03-14 23:00:00,6.993772255049812e-08,7.492205059086834e-08,5.705359357374686e-08,1.784920030170017e-07,1.5568159244678638e-07
1984-03-15 23:00:00,2.9396086379333778e-08,4.0656430301842866e-08,2.9127675074118156e-08,1.0924054516686333e-07,9.93738571802775e-08
1984-03-16 23:00:00,1.584924343559477e-08,1.7378879366097626e-08,1.2579630646440718e-08,4.4629300634066264e-08,4.495224467030278e-08
1984-03-17 23:00:00,,,,,
1984-03-18 23:00:00,1.8529807803807436e-08,1.9854453426820262e-08,1.2264558010631138e-08,4.971072629646019e-08,4.300310103981583e-08
1984-03-19 23:00:00,6.150426136122809e-08,5.434158775541517e-08,4.150794612036811e-08,2.526491328522011e-08,5.1090347546118277e-08
1984-03-20 23:00:00,2.9207154556556987e-07,3.048376021561799e-07,2.481345114884553e-07,4.704219323617441e-08,2.2214196346424243e-07
1984-03-21 23:00:00,6.189675794707404e-08,2.8719112828925805e-08,3.6271035119339275e-08,5.694292209766529e-08,5.4445675125828494e-08
1984-03-22 23:00:00,8.939878532180079e-09,1.3504573316485793e-08,9.191858547705192e-09,3.068895251662643e-08,2.330226754700696e-08
1984-03-23 23:00:00,3.322669753321895e-08,4.1691059315646134e-08,2.7004030567628367e-08,1.8551397930692743e-08,4.116473650490796e-08
1984-03-24 23:00:00,1.255519136234566e-08,1.3767135915932832e-08,1.0599933426689218e-08,1.3503763410780166e-08,2.3479431315704628e-08
1984-03-25 23:00:00,6.1455134440351415e-09,6.225294674988146e-09,5.497371915865828e-09,5.752269868497495e-08,3.624147011174096e-08
1984-03-26 23:00:00,2.890609687677136e-09,2.9320614757361237e-09,4.13659891044652e-09,4.062411133889799e-08,2.2841380150229844e-08
1984-03-27 23:00:00,1.7190759104711038e-09,5.749229134784804e-09,5.358292686718482e-09,1.690958661061746e-08,1.864768702674795e-08
1984-03-28 23:00:00,5.7041524323048414e-09,9.284965280029508e-09,5.848601598430563e-09,3.5331911510891386e-08,3.119253449969822e-08
1984-03-29 23:00:00,7.380710707770453e-09,9.388117188656772e-09,1.3887564893122073e-08,1.2647614434913353e-07,8.08847447236379e-08
1984-03-30 23:00:00,5.130769202002773e-09,1.0252563903729121e-08,7.908662298211346e-09,3.9188265800476074e-08,3.813195007818717e-08
1984-03-31 23:00:00,2.620733446545071e-08,3.535474616068381e-08,1.9886307418346405e-08,1.0244788946928802e-07,1.0884541052359122e-07
1984-04-01 23:00:00,1.1196040582877619e-08,1.7180493860333053e-08,1.2754651683348196e-08,5.511071394990992e-08,6.069143613179525e-08
1984-04-02 23:00:00,1.5936903655529023e-08,2.0439617887691214e-08,1.2521465067510252e-08,2.3188494421817637e-08,5.0075749556223555e-08
1984-04-03 23:00:00,3.376600918946443e-08,2.99096190267139e-08,2.1031744502208852e-08,2.3315220519348426e-08,6.224849157863193e-08
